# imla_loan_map.tsv — 2009/2011 imla LOANWORD-SHAPE reform
# Rules per Uyghur_Imla_Qaidisi SS V.3 (hiatus) and SS IX.2.1-4
# (initial clusters), arbitrated word-by-word against the 2011
# izahliq lughiti and the 6-volume izahliq lughet.
# The dictionary outranks the rule prose. The example word-lists
# inside the qaidisi carry transcription noise and were NOT used.
# SEPARATE FROM era_map.tsv. ORDER: calque -> era -> imla_loan.
# 873 rules (769 + 95 on 2026-08-17 + 9 on 2026-08-18) | classes: {'B': 195, 'A3': 162, 'A': 193, 'F': 71, 'W': 18, 'A4': 82, 'A?': 26, 'A2': 17, 'SEED': 9}
# variant<TAB>standard
رادىئوگرامما	رادىيوگرامما
ستاتىستىكىسى	ئىستاتىستىكىسى
ستاتىستىكىغا	ئىستاتىستىكىغا
ستاتىستىكىچى	ئىستاتىستىكىچى
ستراخۇۋانىيە	ئىستراخۇۋانىيە
ستىخىيىچىلىك	ئىستىخىيەچىلىك
ستىلىستىكىغا	ئىستىلىستىكىغا
سىتوئىتىسىزم	ئىستوئىتىسىزم
سىپىنوزچىلىق	ئىسپىنوزچىلىق
سپېنسېرىزمچى	ئىسپېنسېرىزمچى
سۇلفاتىئازول	سۇلفاتىيازول
فىرىنولوگىيە	فىرېنولوگىيە
فىزىئولوگىيە	فىزىيولوگىيە
كرىستاللىشىش	كىرىستاللىشىش
كرىستاللىشىپ	كىرىستاللىشىپ
كرىستاللىنىش	كىرىستاللىنىش
كرىستاللىنىپ	كىرىستاللىنىپ
مىكروبىئولوگ	مىكروبىيولوگ
مۇداپىيەچىسى	مۇداپىئەچىسى
پراۋوسلاۋىيە	پىراۋوسلاۋىيە
پراۋۇسلاۋىيې	پىراۋۇسلاۋىيې
پراۋۇسلاۋىيە	پىراۋوسلاۋىيە
پروفېسسورلۇق	پىروفېسسورلۇق
پروفېسسورنىڭ	پىروفېسسورنىڭ
پرولېتارىيات	پىرولېتارىيات
پروگراممىلىق	پىروگراممىلىق
پرىنسىپاللىق	پىرىنسىپاللىق
پرىنسىپلارنى	پىرىنسىپلارنى
پولارىئودلۇق	پولارىيودلۇق
پىئانىنوچىسى	پىيانىنوچىسى
پىئونېرلاردا	پىيونېرلاردا
پىئونېرلارغا	پىيونېرلارغا
پىئونېرلارچە	پىيونېرلارچە
چچاڭلايدىغان	چىچاڭلايدىغان
گراۋىتاتسىيە	گىراۋىتاتسىيە
گرېتسىيەدىكى	گىرېتسىيەدىكى
گۋاتېمالانىڭ	گىۋاتېمالانىڭ
ئادىئاباتىك	ئادىياباتىك
ئاكسىئومىسى	ئاكسىيومىسى
ئاۋىئاتسىيە	ئاۋىياتسىيە
ئاۋىئاماتكا	ئاۋىياماتكا
ئىئوردانىيە	ئىيوردانىيە
ئىندۇكسىئون	ئىندۇكسىيون
باتالىئوننى	باتالىيوننى
بالايىياپەت	بالايىئاپەت
برېنتانىزىم	بىرېنتانىزىم
بلانكىچىلار	بىلانكىچىلار
بلىيارتخانا	بىليارتخانا
بىئوپىگمېنت	بىيوپىگمېنت
بىئوگرافىيە	بىيوگرافىيە
تىرانسىپورت	تىرانسپورت
خرىستىئانچە	خىرىستىيانچە
خوندرىئوسوم	خوندرىيوسوم
دىئالېكتىكا	دىيالېكتىكا
رادىئاتسىيە	رادىياتسىيە
رادىئولاردا	رادىيولاردا
رادىئولىشىپ	رادىيولىشىپ
ستانسىسىنىڭ	ئىستانسىسىنىڭ
